id,Status_C,Status_CL,Status_D
7905,0.7628583,0.011653956,0.22548778
7906,0.80195224,0.121861674,0.07618604
7907,0.033500694,0.009612905,0.9568864
7908,0.96195024,0.0023513362,0.035698418
7909,0.7827722,0.013378601,0.20384923
7910,0.9846556,0.0015035296,0.013840845
7911,0.97204584,0.010486863,0.017467314
7912,0.18632136,0.012571104,0.8011076
7913,4.1637104e-05,5.0516574e-05,0.99990785
7914,0.4369676,0.0021187856,0.5609136
7915,0.88180655,0.00092847104,0.11726499
7916,0.7431186,0.0015898123,0.25529164
7917,0.2935552,0.0901108,0.616334
7918,0.91407174,0.0054874094,0.08044085
7919,0.6488551,0.14905861,0.20208625
7920,0.93889225,0.0033893518,0.057718355
7921,0.9182649,0.0039684596,0.07776661
7922,0.0062859734,0.02372529,0.96998876
7923,0.9274252,0.0006689597,0.07190585
7924,0.47901475,0.10788214,0.41310316
7925,0.0012656772,0.00032644748,0.9984079
7926,0.65152484,0.00019957678,0.34827557
7927,0.7443422,0.15431987,0.10133795
7928,0.022811072,0.012562505,0.96462643
7929,0.88625443,0.049400587,0.06434499
7930,0.21171066,0.25396514,0.5343242
7931,0.9488869,0.004854523,0.046258625
7932,0.08746466,0.020186292,0.892349
7933,0.66621447,0.006695619,0.32708988
7934,0.9832786,0.0006219575,0.016099429
7935,0.9015843,0.014777959,0.083637714
7936,0.8635903,0.01650618,0.11990352
7937,0.0989764,0.0013652632,0.89965826
7938,0.97236764,0.007360547,0.020271854
7939,0.18466167,0.05251404,0.7628243
7940,0.7074794,0.11301595,0.17950468
7941,0.37891,0.06943765,0.5516524
7942,0.95024836,0.0115251,0.0382266
7943,0.019085446,0.009033025,0.97188157
7944,0.9503405,0.0009730149,0.048686534
7945,0.9649718,0.0011460268,0.033882186
7946,0.94900185,0.008624821,0.042373363
7947,0.78745234,0.006601723,0.20594594
7948,0.07232583,0.0009040543,0.92677015
7949,0.20032385,0.032050706,0.76762545
7950,0.8800337,0.022762936,0.09720339
7951,0.17354776,0.015875796,0.81057644
7952,0.12454434,0.047958154,0.82749754
7953,0.0035976314,0.00026834742,0.99613404
7954,0.906809,0.011619897,0.08157105
7955,0.084282026,0.01657331,0.89914465
7956,0.005863779,0.031398695,0.9627375
7957,0.86631364,0.013471451,0.12021496
7958,0.0071754484,0.004620201,0.98820436
7959,0.47943187,0.041460734,0.4791074
7960,0.36788845,0.02167579,0.6104358
7961,0.9079054,0.0031708404,0.088923775
7962,0.07143781,0.01004122,0.918521
7963,0.25046304,0.024731886,0.7248051
7964,0.013872435,0.014549616,0.97157794
7965,0.9678931,0.008086556,0.024020318
7966,0.39049393,0.003205676,0.6063004
7967,0.9253858,0.00959154,0.06502269
7968,0.92500657,0.0003642261,0.07462917
7969,0.20061798,0.027706806,0.7716752
7970,0.9789328,0.00051096675,0.020556198
7971,0.96830374,0.0008747761,0.03082152
7972,0.39206377,0.14795452,0.45998174
7973,0.97557575,0.0018952029,0.02252909
7974,0.024384981,0.27543414,0.7001809
7975,0.84443176,0.01092259,0.14464563
7976,0.84229195,0.0017755366,0.1559325
7977,0.9944539,0.0013889018,0.0041571995
